parid,neighbourhood_group,latitude,longitude,hotel_counts_per_neighbourhood_group
2022610005,Bronx,40.80517,-73.92146,144
2025680068,Bronx,40.80636,-73.91234,144
2026760075,Bronx,40.81785,-73.90239,144
2026780063,Bronx,40.82251,-73.90046,144
2026900123,Bronx,40.82357,-73.89999,144
2027280034,Bronx,40.82743,-73.89191,144
2027450002,Bronx,40.82709,-73.8919,144
2025460011,Bronx,40.80337,-73.91916,144
2029090026,Bronx,40.8466,-73.89831,144
2029090029,Bronx,40.84654,-73.89835,144
2029230001,Bronx,40.84466,-73.89824,144
2029510057,Bronx,40.84452,-73.88935,144
2030160042,Bronx,40.83993,-73.88086,144
2030170065,Bronx,40.83125,-73.8848,144
2030270010,Bronx,40.84843,-73.90053,144
2029090028,Bronx,40.84657,-73.89833,144
2030270014,Bronx,40.84873,-73.90036,144
2025300032,Bronx,40.84051,-73.92842,144
2025230053,Bronx,40.83208,-73.93166,144
2023200011,Bronx,40.80976,-73.92899,144
2023220067,Bronx,40.8117,-73.92977,144
2023400014,Bronx,40.81319,-73.92871,144
2023410040,Bronx,40.81532,-73.92867,144
2023510021,Bronx,40.8186,-73.93041,144
2023690045,Bronx,40.82561,-73.90913,144
2025300009,Bronx,40.84005,-73.92858,144
2023690047,Bronx,40.82563,-73.9092,144
2023750021,Bronx,40.81881,-73.91471,144
2023760023,Bronx,40.81931,-73.91448,144
2023830039,Bronx,40.82398,-73.9131,144
2023910045,Bronx,40.82682,-73.91177,144
2024590053,Bronx,40.82593,-73.92152,144
2025060044,Bronx,40.83746,-73.92228,144
2023720013,Bronx,40.83069,-73.90722,144
2022930051,Bronx,40.8154,-73.91609,144
2030280013,Bronx,40.84997,-73.8996,144
2030290061,Bronx,40.85028,-73.89839,144
2045560037,Bronx,40.86856,-73.85763,144
2046510091,Bronx,40.88155,-73.86394,144
2047050011,Bronx,40.87366,-73.85472,144
2047320012,Bronx,40.87373,-73.85306,144
2047330006,Bronx,40.8748,-73.85167,144
2049180006,Bronx,40.88132,-73.83861,144
2041530001,Bronx,40.84404,-73.83667,144
2049220101,Bronx,40.88366,-73.83541,144
2050870040,Bronx,40.90226,-73.85136,144
2051020027,Bronx,40.90581,-73.85303,144
2051410299,Bronx,40.8799,-73.83181,144
2052700048,Bronx,40.88241,-73.82946,144
2052760001,Bronx,40.88397,-73.82645,144
2056100087,Bronx,40.8174,-73.83673,144
2050660003,Bronx,40.90007,-73.85759,144
2030280017,Bronx,40.85033,-73.89937,144
2037960033,Bronx,40.83313,-73.85764,144
2037390033,Bronx,40.82746,-73.87985,144
2030470063,Bronx,40.85097,-73.89384,144
2030510031,Bronx,40.85419,-73.89104,144
2030520030,Bronx,40.85533,-73.89112,144
2031150025,Bronx,40.85696,-73.88208,144
2031580005,Bronx,40.85635,-73.90059,144
2031640023,Bronx,40.85828,-73.89947,144
2037390034,Bronx,40.82749,-73.87986,144
2031650055,Bronx,40.85986,-73.89856,144
2032620041,Bronx,40.8828,-73.89906,144
2033300048,Bronx,40.87039,-73.87816,144
2033570410,Bronx,40.87819,-73.8717,144
2033950060,Bronx,40.89637,-73.86294,144
2037000023,Bronx,40.82751,-73.8455,144
2037000026,Bronx,40.82751,-73.8455,144
2032361001,Bronx,40.86241,-73.9111,144
2058411968,Bronx,40.90199,-73.89667,144
2022930046,Bronx,40.81546,-73.91622,144
2023400014,Bronx,40.81319,-73.92871,144
2027280034,Bronx,40.82743,-73.89191,144
2027450002,Bronx,40.82709,-73.8919,144
2029090026,Bronx,40.8466,-73.89831,144
2029090028,Bronx,40.84657,-73.89833,144
2029090029,Bronx,40.84654,-73.89835,144
2029230001,Bronx,40.84466,-73.89824,144
2026900123,Bronx,40.82357,-73.89999,144
2030160042,Bronx,40.83993,-73.88086,144
2030270010,Bronx,40.84843,-73.90053,144
2030270014,Bronx,40.84873,-73.90036,144
2030280013,Bronx,40.84997,-73.8996,144
2030470063,Bronx,40.85097,-73.89384,144
2030510031,Bronx,40.85419,-73.89104,144
2030520030,Bronx,40.85533,-73.89112,144
2030170065,Bronx,40.83114,-73.88484,144
2030530028,Bronx,40.85598,-73.8913,144
2026780063,Bronx,40.82251,-73.90046,144
2025680068,Bronx,40.80636,-73.91234,144
2023410040,Bronx,40.81532,-73.92867,144
2023510021,Bronx,40.8186,-73.93041,144
2023690045,Bronx,40.82561,-73.90913,144
2023690047,Bronx,40.82563,-73.9092,144
2023720013,Bronx,40.83069,-73.90722,144
2023750021,Bronx,40.81881,-73.91471,144
2026760075,Bronx,40.81785,-73.90239,144
2023830039,Bronx,40.82398,-73.9131,144
2024590053,Bronx,40.82593,-73.92152,144
2025060044,Bronx,40.83746,-73.92228,144
2025230053,Bronx,40.83208,-73.93166,144
2025300009,Bronx,40.84005,-73.92858,144
2025300032,Bronx,40.84051,-73.92842,144
2025460011,Bronx,40.80337,-73.91916,144
2023910045,Bronx,40.82682,-73.91177,144
2022610005,Bronx,40.80517,-73.92146,144
2031150025,Bronx,40.85696,-73.88208,144
2031640023,Bronx,40.85828,-73.89947,144
2049220101,Bronx,40.88366,-73.83541,144
2050660003,Bronx,40.90007,-73.85759,144
2050870040,Bronx,40.90226,-73.85136,144
2051020027,Bronx,40.90581,-73.85303,144
2051070008,Bronx,40.90514,-73.84956,144
2051410299,Bronx,40.8799,-73.83181,144
2049180006,Bronx,40.88132,-73.83861,144
2052700048,Bronx,40.88241,-73.82946,144
2056100087,Bronx,40.81697,-73.83683,144
2058411968,Bronx,40.90199,-73.89667,144
2058411978,Bronx,40.90232,-73.89659,144
2023200011,Bronx,40.80976,-73.92899,144
2022930051,Bronx,40.8154,-73.91609,144
2022930046,Bronx,40.81546,-73.91622,144
2052760001,Bronx,40.88397,-73.82645,144
2031580005,Bronx,40.85635,-73.90059,144
2047330006,Bronx,40.8748,-73.85167,144
2047050011,Bronx,40.87366,-73.85472,144
2031650055,Bronx,40.85986,-73.89856,144
2032361001,Bronx,40.86241,-73.9111,144
2032620041,Bronx,40.8828,-73.89906,144
2033300048,Bronx,40.87039,-73.87816,144
2033570410,Bronx,40.87819,-73.8717,144
2033950060,Bronx,40.89637,-73.86294,144
2047320012,Bronx,40.87373,-73.85306,144
2037000023,Bronx,40.82751,-73.8455,144
2037390033,Bronx,40.82746,-73.87985,144
2037390034,Bronx,40.82749,-73.87986,144
2037960033,Bronx,40.83313,-73.85764,144
2041530001,Bronx,40.84404,-73.83667,144
2045560037,Bronx,40.86856,-73.85763,144
2046510091,Bronx,40.88155,-73.86394,144
2037000026,Bronx,40.82753,-73.84541,144
2058411978,Bronx,40.90232,-73.89659,144
2023220067,Bronx,40.8117,-73.92977,144
3006540034,Brooklyn,40.66028,-73.99823,354
3012860010,Brooklyn,40.66759,-73.94189,354
3012660036,Brooklyn,40.66982,-73.95539,354
3012140076,Brooklyn,40.67591,-73.94641,354
3012030010,Brooklyn,40.67809,-73.94294,354
3012020032,Brooklyn,40.67821,-73.94518,354
3012010012,Brooklyn,40.6784,-73.94832,354
