PARID,neighbourhood_group,zipcode,neighbourhood,hotel_counts_per_neighbourhood
1000080039,Manhattan,10004,Financial District,95
1000080051,Manhattan,10004,Financial District,95
1000100033,Manhattan,10004,Financial District,95
1000110029,Manhattan,10004,Financial District,95
1000161301,Manhattan,10282,Battery Park City,2
1000169002,Manhattan,10004,Financial District,95
1000190024,Manhattan,10006,Financial District,95
1000290043,Manhattan,10004,Financial District,95
1000311002,Manhattan,10005,Financial District,95
1000370008,Manhattan,10005,Financial District,95
1000370013,Manhattan,10005,Financial District,95
1000390038,Manhattan,10005,Financial District,95
1000390041,Manhattan,10005,Financial District,95
1000400016,Manhattan,10005,Financial District,95
1000410015,Manhattan,10005,Financial District,95
1000411302,Manhattan,10005,Financial District,95
1000411303,Manhattan,10005,Financial District,95
1000520008,Manhattan,10006,Financial District,95
1000530002,Manhattan,10006,Financial District,95
1000530037,Manhattan,10006,Financial District,95
1000530038,Manhattan,10006,Financial District,95
1000531201,Manhattan,10006,Financial District,95
1000550016,Manhattan,10006,Financial District,95
1000560001,Manhattan,10006,Financial District,95
1000640001,Manhattan,10038,Financial District,95
1000641102,Manhattan,10038,Financial District,95
1000650024,Manhattan,10038,Financial District,95
1000651102,Manhattan,10038,Financial District,95
1000680016,Manhattan,10038,Financial District,95
1000680028,Manhattan,10038,Financial District,95
1000690001,Manhattan,10038,Financial District,95
1000690030,Manhattan,10038,Financial District,95
1000720007,Manhattan,10038,Financial District,95
1000720012,Manhattan,10038,Financial District,95
1000780011,Manhattan,10038,Financial District,95
1000780020,Manhattan,10038,Financial District,95
1000790010,Manhattan,10038,Financial District,95
1000800004,Manhattan,10007,Civic Center,8
1000890003,Manhattan,10038,Financial District,95
1000901201,Manhattan,10038,Financial District,95
1000901202,Manhattan,10038,Financial District,95
1000920014,Manhattan,10038,Financial District,95
1000921001,Manhattan,10038,Financial District,95
1000921002,Manhattan,10038,Financial District,95
1000921003,Manhattan,10038,Financial District,95
1001060017,Manhattan,10038,Financial District,95
1001070038,Manhattan,10038,Financial District,95
1001231101,Manhattan,10007,Civic Center,8
1001361401,Manhattan,10007,Civic Center,8
1001450012,Manhattan,10007,Civic Center,8
1001460023,Manhattan,10013,Chinatown,907
1001640009,Manhattan,10013,Chinatown,907
1001720020,Manhattan,10013,Chinatown,907
1001870016,Manhattan,10013,Chinatown,907
1001910001,Manhattan,10013,Chinatown,907
1001950007,Manhattan,10013,Chinatown,907
1001960009,Manhattan,10013,Chinatown,907
1001960024,Manhattan,10013,Chinatown,907
1002020023,Manhattan,10013,Chinatown,907
1002030017,Manhattan,10013,Chinatown,907
1002090019,Manhattan,10013,Chinatown,907
1002090024,Manhattan,10013,Chinatown,907
1002110029,Manhattan,10013,Chinatown,907
1002120045,Manhattan,10013,Chinatown,907
1002270028,Manhattan,10013,Chinatown,907
1002270052,Manhattan,10013,Chinatown,907
1002330002,Manhattan,10013,Chinatown,907
1002340011,Manhattan,10013,Chinatown,907
1002390020,Manhattan,10013,Chinatown,907
1002390029,Manhattan,10013,Chinatown,907
1002740024,Manhattan,10002,Chinatown,907
1002790015,Manhattan,10038,Financial District,95
1002820023,Manhattan,10002,Chinatown,907
1002820031,Manhattan,10002,Chinatown,907
1002820080,Manhattan,10002,Chinatown,907
1002921110,Manhattan,10002,Chinatown,907
1002930019,Manhattan,10002,Chinatown,907
1002940007,Manhattan,10002,Chinatown,907
1003030015,Manhattan,10002,Chinatown,907
1003030025,Manhattan,10002,Chinatown,907
1003030035,Manhattan,10002,Chinatown,907
1003040004,Manhattan,10002,Chinatown,907
1003040016,Manhattan,10002,Chinatown,907
1003060029,Manhattan,10002,Chinatown,907
1003480036,Manhattan,10002,Chinatown,907
1004091101,Manhattan,10002,Chinatown,907
1004091102,Manhattan,10002,Chinatown,907
1004100048,Manhattan,10002,Chinatown,907
1004101001,Manhattan,10002,Chinatown,907
1004110041,Manhattan,10002,Chinatown,907
1004120048,Manhattan,10002,Chinatown,907
1004121003,Manhattan,10002,Chinatown,907
1004130041,Manhattan,10002,Chinatown,907
1004150067,Manhattan,10002,Chinatown,907
1004150077,Manhattan,10002,Chinatown,907
1004160058,Manhattan,10002,Chinatown,907
1004170011,Manhattan,10002,Chinatown,907
1004171002,Manhattan,10002,Chinatown,907
1004180036,Manhattan,10002,Chinatown,907
1004220047,Manhattan,10002,Chinatown,907
1004230008,Manhattan,10002,Chinatown,907
1004250004,Manhattan,10002,Chinatown,907
1004250023,Manhattan,10002,Chinatown,907
1004260017,Manhattan,10002,Chinatown,907
1004271601,Manhattan,10002,Chinatown,907
1004510039,Manhattan,10003,East Village,76
1004570009,Manhattan,10003,East Village,76
1004580006,Manhattan,10003,East Village,76
1004610003,Manhattan,10003,East Village,76
1004610006,Manhattan,10003,East Village,76
1004620018,Manhattan,10003,East Village,76
1004630007,Manhattan,10003,East Village,76
1004649006,Manhattan,10003,East Village,76
1004650001,Manhattan,10003,East Village,76
1004670001,Manhattan,10003,East Village,76
1004700050,Manhattan,10013,Chinatown,907
1004700053,Manhattan,10013,Chinatown,907
1004710055,Manhattan,10013,Chinatown,907
1004730017,Manhattan,10013,Chinatown,907
1004770068,Manhattan,10013,Chinatown,907
1004790029,Manhattan,10012,Greenwich Village,48
1004810001,Manhattan,10013,Chinatown,907
1004880003,Manhattan,10012,Greenwich Village,48
1004911201,Manhattan,10013,Chinatown,907
1004911202,Manhattan,10013,Chinatown,907
1004911203,Manhattan,10013,Chinatown,907
1004911204,Manhattan,10013,Chinatown,907
1004911205,Manhattan,10013,Chinatown,907
1004911206,Manhattan,10013,Chinatown,907
1004911207,Manhattan,10013,Chinatown,907
1004911208,Manhattan,10013,Chinatown,907
1004911209,Manhattan,10013,Chinatown,907
1004911210,Manhattan,10013,Chinatown,907
1004911211,Manhattan,10013,Chinatown,907
1004911212,Manhattan,10013,Chinatown,907
1004911213,Manhattan,10013,Chinatown,907
1004911214,Manhattan,10013,Chinatown,907
1004911215,Manhattan,10013,Chinatown,907
1004911216,Manhattan,10013,Chinatown,907
