neighbourhood,neighbourhood_group,airbnb_counts_per_neighbourhood,zipcode,hotel_counts_per_neighbourhood
Fort Wadsworth,Staten Island,1.0,10305,0.0
New Dorp,Staten Island,1.0,10306,0.0
Neponsit,Queens,2.0,11694,0.0
Country Club,Bronx,1.0,10465,2.0
Willowbrook,Staten Island,1.0,10314,0.0
Emerson Hill,Staten Island,4.0,10304,0.0
Emerson Hill,Staten Island,4.0,10314,0.0
Emerson Hill,Staten Island,4.0,10301,0.0
Great Kills,Staten Island,4.0,10308,0.0
Bull's Head,Staten Island,1.0,10314,0.0
Richmondtown,Staten Island,3.0,10306,0.0
Westerleigh,Staten Island,1.0,10314,0.0
Spuyten Duyvil,Bronx,5.0,10463,0.0
Spuyten Duyvil,Bronx,5.0,10471,0.0
Co-op City,Bronx,2.0,10475,6.0
Silver Lake,Staten Island,3.0,10301,0.0
Holliswood,Queens,3.0,11412,0.0
Holliswood,Queens,3.0,11423,0.0
New Springville,Staten Island,3.0,10314,0.0
Oakwood,Staten Island,7.0,10306,0.0
New Brighton,Staten Island,10.0,10304,0.0
New Brighton,Staten Island,10.0,10301,0.0
Clifton,Staten Island,11.0,10304,0.0
Woodrow,Staten Island,1.0,10309,0.0
Woodrow,Staten Island,1.0,10312,0.0
Westchester Square,Bronx,7.0,10461,0.0
Shore Acres,Staten Island,9.0,10305,0.0
Castleton Corners,Staten Island,7.0,10314,0.0
Castleton Corners,Staten Island,7.0,10301,4.0
Castleton Corners,Staten Island,7.0,10302,0.0
Castleton Corners,Staten Island,7.0,10310,0.0
Grymes Hill,Staten Island,7.0,10301,0.0
Grymes Hill,Staten Island,7.0,10304,0.0
Hollis Hills,Queens,1.0,11364,0.0
Hollis Hills,Queens,1.0,11427,0.0
Lighthouse Hill,Staten Island,2.0,10306,0.0
Lighthouse Hill,Staten Island,2.0,10314,0.0
Riverdale,Bronx,9.0,10463,0.0
Riverdale,Bronx,9.0,10471,0.0
Huguenot,Staten Island,4.0,10309,0.0
Huguenot,Staten Island,4.0,10312,0.0
Jamaica Hills,Queens,15.0,11432,0.0
Olinville,Bronx,12.0,10467,0.0
Hunts Point,Bronx,30.0,10474,0.0
Navy Yard,Brooklyn,7.0,11205,0.0
West Farms,Bronx,6.0,10460,0.0
Castle Hill,Bronx,4.0,10473,4.0
Edgemere,Queens,14.0,11690,0.0
Woodlawn,Bronx,7.0,10470,9.0
Todt Hill,Staten Island,4.0,10306,0.0
Todt Hill,Staten Island,4.0,10304,0.0
Todt Hill,Staten Island,4.0,10314,0.0
Todt Hill,Staten Island,4.0,10301,0.0
Bay Terrace,Queens,4.0,11359,0.0
Bay Terrace,Queens,4.0,11360,0.0
Midland Beach,Staten Island,8.0,10305,0.0
Midland Beach,Staten Island,8.0,10306,0.0
Two Bridges,Manhattan,44.0,10002,0.0
University Heights,Bronx,13.0,10453,0.0
University Heights,Bronx,13.0,10468,0.0
Vinegar Hill,Brooklyn,30.0,11251,0.0
Vinegar Hill,Brooklyn,30.0,11201,0.0
Morris Park,Bronx,27.0,10461,2.0
Concord,Staten Island,8.0,10304,0.0
Concord,Staten Island,8.0,10305,0.0
South Beach,Staten Island,2.0,10305,0.0
Fieldston,Bronx,10.0,10471,4.0
Dongan Hills,Staten Island,6.0,10304,0.0
