incident_address,longitude,latitude,incident_count
1 4 PLACE,-74.00162599443675,40.67886711358479,1
1 ADRIAN AVENUE,-73.91247127084895,40.875894942376384,1
1 ALBION PLACE,-74.13235336974444,40.63285429517335,1
1 ARDEN STREET,-73.92668380480941,40.86125640378806,2
1 AVENUE,-73.95518599966421,40.768899655268726,9
1 BANNER    3 ROAD,-73.9663248887898,40.5819244947517,1
1 BAY RIDGE AVENUE,-74.03579002176613,40.63877678731507,1
1 BEACH  105 STREET,-73.82526771556371,40.58149737611716,5
1 BEACH PLACE,-73.90236411909116,40.634870754927285,1
1 BENNETT AVENUE,-73.93658154888337,40.85058263316392,1
1 BOGARDUS PLACE,-73.92979179302147,40.85885672421463,1
1 BURNS STREET,-73.8441242321125,40.71903282046132,4
1 CENTER DRIVE,-73.82412622943981,40.79076278095511,3
1 CENTRE EDGEWATER PARK DRIVE,-73.81092712443213,40.82238588114412,1
1 CITY ISLAND AVENUE,-73.7829227662113,40.83766583432022,1
1 CLINTON STREET,-73.99136665200248,40.69615336682547,1
1 DARTMOUTH STREET,-73.84563925773465,40.71908426744382,6
1 DE SALES PLACE,-73.90616931969538,40.68063767271501,1
1 DONGAN PLACE,-73.92987376492471,40.86339925197304,1
1 EAST   32 STREET,-73.94761540908205,40.65062240667539,1
1 EAST   94 STREET,-73.95647134246326,40.78650815544822,1
1 EAST  107 STREET,-73.95038034543647,40.794866145810005,1
1 EAST  120 STREET,-73.9443168047192,40.80311677292686,1
1 EAST  161 STREET,-73.92849712533803,40.82903467796628,1
1 EAST  198 STREET,-73.89288721314844,40.87130027643416,6
1 EAST LOOP ROAD,-73.95430411418883,40.75573329705954,1
1 ELTON STREET,-73.88559538840981,40.68359988143467,3
1 ESSEX STREET,-73.99014498512597,40.71480119798323,1
1 EUGENE STREET,-74.23148452014422,40.51734394310228,1
1 FORDHAM HILL OVAL,-73.90865829733814,40.86398275179745,1
1 JACOBUS PLACE,-73.91215405363715,40.87514540014392,19
1 MARINA ROAD,-73.85764930906899,40.76097372764468,5
1 MIAMI COURT,-73.94699456026953,40.66095073531185,1
1 MINETTA STREET,-74.00207102549163,40.7296809358249,3
1 MONITOR STREET,-73.94158380772154,40.719299185693934,1
1 OCEAN DRIVE,-74.00020877453525,40.57236927978567,1
